,대학교,주소,x좌표,y좌표,행정동,면적(m^2)
0,강원관광대학교,강원 태백시 대학길 97,128.97419025184723,37.16149477794874,강원도 태백시 황지동,184661
1,경주대학교,경북 경주시 태종로 188,129.1630726603209,35.829007632866364,경상북도 경주시 효현동,376087
2,고구려대학교,전남 나주시 다시면 백호로 125,126.649613688745,35.0076925225607,전라남도 나주시 다시면 복암리,104096
3,광양보건대학교,전남 광양시 광양읍 대학로 85,127.5676792189384,34.95396120614174,전라남도 광양시 광양읍 덕례리,55875
4,금강대학교,충남 논산시 상월면 상월로 522,127.19642662197457,36.30549641819005,충청남도 논산시 상월면 대명리,133788
5,대구예술대학교,경북 칠곡군 가산면 다부거문1길 202,128.50950376346228,36.032180842813176,경상북도 칠곡군 가산면 다부리,65377
6,대덕대학교,대전 유성구 가정북로 68,127.36555772417698,36.39130808316448,대전광역시 유성구 장동,205131
7,두원공대학교,경기 안성시 죽산면 관음당길 51,127.42239206893134,37.06437103944688,경기도 안성시 죽산면 장원리,429876
8,부산과학기술대학교,부산 북구 시랑로132번길 88,129.00434843640252,35.19467171615584,부산광역시 북구 구포동,130880
9,서라벌대학교,경북 경주시 태종로 516,129.1850622745396,35.839773708651215,경상북도 경주시 충효동,141315
10,서울기독대학교,서울 은평구 갈현로4길 26-2,126.91256378597808,37.60062243984443,서울특별시 은평구 신사동,7940
11,신경대학교,경기 화성시 남양읍 남양중앙로 400-5,126.839513003484,37.2027597068537,경기도 화성시 남양읍 남양리,68572
12,영남외대학교,경북 경산시 남천면 남천로 780-9,128.7334924667693,35.78624419579164,경상북도 경산시 남천면 협석리,81852
13,예원예술대학교,전북 임실군 신평면 창인로 117,127.27037176440928,35.646742709928965,전라북도 임실군 신평면 창인리,143151
14,웅지세무대학교,경기 파주시 탄현면 웅지로144번길 73,126.735761219436,37.8180121620325,경기도 파주시 탄현면 금승리,38513
15,제주국제대학교,제주특별자치도 제주시 516로 2870,126.57013453482568,33.441256456248624,제주특별자치도 제주시 영평동,177643
16,한국국제대학교,경남 진주시 문산읍 동부로 965,128.20470790849785,35.172818301400866,경상남도 진주시 문산읍 상문리,412805
17,한려대학교,전남 광양시 광양읍 한려대길 94-13,127.56379582153995,34.95633909355678,전라남도 광양시 광양읍 덕례리,90042
