대덕대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,박물관CT1,한국지질자원연구원 지질박물관,대전 유성구 과학로 124,1554,127.362278240109,36.377554499614
1,박물관CT1,한국조폐공사 화폐박물관,대전 유성구 과학로 80-67,1593,127.37049802175667,36.37751126620407
2,과학관CT1,국립중앙과학관,대전 유성구 대덕대로 481,1899,127.375211788533,36.3760690988584
3,"공연장,연극극장CT1",대덕레파토리,대전 유성구 가정북로 68,32,127.365537387874,36.3910116607089
4,"공연장,연극극장CT1",클라라하우스 대전점,대전 유성구 대덕대로578번길 14,1466,127.379442077432,36.3843320873719
5,메가박스CT1,메가박스 대전신세계 아트앤사이언스,대전 유성구 엑스포로 1,2231,127.38080628473783,36.37542418153559
6,과학관CT1,국립중앙과학관 과학교육관,대전 유성구 대덕대로 481,1741,127.373817036694,36.377100806552
7,아쿠아리움CT1,대전엑스포아쿠아리움,대전 유성구 엑스포로 1,2275,127.381379528001,36.3752871772063
8,전시관CT1,국립중앙과학관 꿈아띠체험관,대전 유성구 대덕대로 481,1895,127.375211996289,36.3761123544261
9,과학관CT1,국립중앙과학관 미래기술관,,1785,127.374455825325,36.376915868229
10,과학관CT1,국립중앙과학관 자연사관,대전 유성구 대덕대로 481,1968,127.375217414134,36.3753841909946
11,전시관CT1,보다아트센터,대전 유성구 대덕대로 548,1590,127.37889064439,36.3818574223288
12,과학관CT1,국립중앙과학관 천체관,대전 유성구 대덕대로 481,1828,127.375425242547,36.376890296375
13,롯데시네마CT1,롯데시네마 대전둔산,대전 서구 대덕대로 325,3491,127.37902062133011,36.361786112139555
14,전시관CT1,국립중앙과학관 과학기술관,대전 유성구 대덕대로 481,1885,127.375288449856,36.3762526969888
15,천문대AT4,대전시민천문대,대전 유성구 과학로 213-48,1516,127.353670899164,36.3815959116623
16,대덕사이언스길AT4,대덕사이언스길 1코스,,742,127.3738161443464,36.390885107308094
17,천문대AT4,대덕전파천문대,대전 유성구 대덕대로 776,1097,127.37504748494,36.3975498944608
18,산AT4,매봉산,,1221,127.37184226886956,36.38154433496759
19,산AT4,화봉산,,1435,127.38086311341,36.3950767091889
20,테마파크AT4,엑스포과학공원,대전 유성구 대덕대로 480,2488,127.387083357596,36.3771630932471
21,대덕사이언스길AT4,대덕사이언스길 2코스,대전 유성구 대학로 99,1712,127.36296203815101,36.37601682770846
22,산AT4,우성이산,,1962,127.38592452073102,36.38486373700239
23,테마파크AT4,과학공원,대전 유성구 대덕대로 481,2036,127.378220697206,36.3760740293115
24,워터테마파크AT4,캐슬워터파크,대전 유성구 대덕대로 481,2200,127.377921819879,36.3741861201047
25,전망대AT4,대전신세계아트&사이언스 디아트스페이스193,대전 유성구 엑스포로 1,2426,127.383381149478,36.3748689352296
26,"수목원,식물원AT4",한밭수목원,대전 서구 둔산대로 169,3180,127.388037583592,36.3691431776998
27,동물원AT4,티놀자애니멀파크,대전 유성구 대덕대로989번길 9-51,2851,127.375104060751,36.4158145624816
28,산AT4,성두산,,2245,127.369827046478,36.3713709591936
29,계곡AT4,새터날고개,,2144,127.370647755004,36.3724281941137
30,"야영,캠핑장AD5",국립중앙과학관 가족캠핑장,대전 유성구 대덕대로 481,1824,127.374326672476,36.3764756002772
31,"야영,캠핑장AD5",하기숲캠핑장,,2989,127.332317919662,36.3932354644541
32,"고속,시외버스터미널버스터미널",유성고속버스터미널,대전 유성구 장대로 54,4358,127.33643215179,36.359869756879
