부산과학기술대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,"공연장,연극극장CT1",부산광역시 학생예술문화회관,부산 북구 낙동북로 737-1,563,129.001864032787,35.1993213996259
1,메가박스CT1,메가박스 덕천,부산 북구 만덕대로 23,1835,129.00757600962348,35.210994223867914
2,박물관CT1,부산과학기술대학교 박물관,부산 북구 시랑로132번길 88,83,129.00474907453363,35.193999118861136
3,"공연장,연극극장CT1",부산광역시 학생예술문화회관 대극장,부산 북구 낙동북로 737-1,567,129.001891697772,35.1993750121592
4,"공연장,연극극장CT1",부산광역시 학생예술문화회관 소극장,부산 북구 낙동북로 737-1,568,129.001860969726,35.1993755203443
5,"공연장,연극극장CT1",부산광역시 학생예술문화회관 운영부,부산 북구 낙동북로 737-1,498,129.00197674064,35.1987247649163
6,"공연장,연극극장CT1",부산과학기술대학교 야외공연장,부산 북구 시랑로132번길 88,125,129.003402781868,35.1938492839579
7,"공연장,연극극장CT1",부산광역시 학생예술문화회관 총무부,부산 북구 낙동북로 737-1,570,129.001918920561,35.1994106086449
8,영화관CT1,아세아극장,부산 북구 낙동대로 1704,1474,128.9971094418639,35.20655160785002
9,"공연장,연극극장CT1",소극장624,부산 북구 백양대로 1167,1317,129.004338214953,35.2065402556529
10,박물관CT1,북구근대역사관,부산 북구 구포만세길 113,1462,128.997971077544,35.2067644818203
11,전시관CT1,만세갤러리,부산 북구 구포만세길 113,1463,128.99793810743,35.2067632237307
12,"공연장,연극극장CT1",부산북구문화예술회관,부산 북구 금곡대로46번길 50,2086,129.005765083316,35.2134375699469
13,전시관CT1,동산김형기선생 기념전시관,부산 사상구 모라로192번길 200,1595,128.998462950513,35.1811325211115
14,문화원CT1,낙동문화원,부산 북구 금곡대로46번길 50,2065,129.005860089784,35.2132377390252
15,도보여행AT4,구포무장애숲길 무장애탐방구간,,501,128.99886682636725,35.19511020565249
16,도보여행AT4,구포무장애숲길 하늘바람전망대,,478,129.000428264366,35.191811367658
17,테마파크AT4,구포어린이교통공원,부산 북구 낙동북로 687,737,129.000878326519,35.2006714255872
18,산AT4,범방산,,498,129.003984873549,35.1901953247199
19,둘레길AT4,백양산체험형웰빙숲길,부산 사상구 모라로 221,984,129.004057208228,35.185810842405
20,금정산둘레길AT4,금정산둘레길 6코스,,896,129.01134526137076,35.18899185846307
21,도보여행AT4,북구순환웰빙산책로,,453,128.999373332101,35.1948134669725
22,갈맷길AT4,갈맷길6코스1구간 종점인증대,부산 북구 낙동대로 1697,1478,128.996173598948,35.2061777413246
23,둘레길AT4,사색의숲길,부산 사상구 백양대로934번길 84,940,128.99538514235,35.1904671451285
24,숲AT4,부산구포동당숲,,1119,129.007417875781,35.2044381638741
25,숲AT4,백양산웰빙숲,,1313,129.011189054159,35.1842579166418
26,갈맷길AT4,갈맷길 6코스2구간,,1652,129.01029131667113,35.18061047847551
27,갈맷길AT4,갈맷길6코스2구간 시작인증대,,1474,128.99614593513,35.2061241274922
28,테마거리AT4,덕천동젊음의거리,,1708,129.007117469009,35.2098970005022
29,먹자골목AT4,삼락동재첩거리,부산 사상구 낙동대로1530번길 30-6,1643,128.986365316463,35.1935064380426
30,종합병원HP8,구포부민병원,부산 북구 사상로 605,1312,128.99060465205633,35.19821480630641
31,부산2호선SW8,구남역 부산2호선,부산 북구 백양대로 지하 1026,893,128.994852323186,35.1966903928098
32,"고속,시외버스터미널버스터미널",부산서부버스터미널,부산 사상구 사상로 201,4015,128.982525426422,35.1632394721581
33,KTX정차역기차역,구포역,부산 북구 구포만세길 82,1368,128.9971139605,35.2054809460664
34,기차역기차역,사상역,부산 사상구 광장로 108,3837,128.988724714287,35.1625682832279
35,기차역기차역,화명역,부산 북구 학사로 135,4431,129.007640378399,35.23451172253
