영남외대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,박물관CT1,경산시립박물관,경북 경산시 박물관로 46,4092,128.76321137857798,35.81405693080329
1,문화원CT1,경산문화원,경북 경산시 서상길 75,3572,128.73411007082797,35.81842282655039
2,"공연장,연극극장CT1",경산시민회관 대강당,경북 경산시 계양로 28,3778,128.747792077122,35.8182327198273
3,"공연장,연극극장CT1",민아트홀,경북 경산시 중앙로 14-1,3761,128.729463759347,35.8199793538784
4,미술관CT1,미술중심공간 보물섬,경북 경산시 경안로29길 36,3784,128.73382652784,35.8203418187727
5,박물관CT1,대구한의대학교 박물관,경북 경산시 한의대로 1,3751,128.77401622844715,35.79348471235485
6,박물관CT1,대구한의대학교 한의체험박물관,경북 경산시 한의대로 1,3755,128.774039964536,35.7935573533459
7,문화원CT1,종이문화원,경북 경산시 경산로 107,3602,128.729545481887,35.8185444790744
8,"공연장,연극극장CT1",경산생활체육공원 물소리야외무대,경북 경산시 남매로 100,3923,128.744159804034,35.820509478567
9,문화원CT1,려원다례원,경북 경산시 성암로5길 1,4212,128.72036373885,35.8226601794161
10,"공연장,연극극장CT1",대구한의대학교 야외공연장,경북 경산시 한의대로 1,3906,128.7757195519775,35.79368394233973
11,CJCGVCT1,CGV 경산,경북 경산시 대학로28길 6-5,5204,128.73666956716002,35.83306434734083
12,롯데시네마CT1,롯데시네마 경산,경북 경산시 강변동로 278,5347,128.73332739485141,35.83442735495809
13,CJCGVCT1,CGV 대구스타디움,대구 수성구 유니버시아드로 140,6539,128.68744842173018,35.83169310421033
14,"공연장,연극극장CT1",남천둔치 야외공연장,,4929,128.733586292405,35.8306614099553
15,계곡AT4,매천골,경북 경산시 경청로222길 30,1215,128.738847303544,35.7962847801874
16,계곡AT4,꽃밭등골,,288,128.731917151195,35.7839816236448
17,산AT4,안산,,513,128.729431980781,35.7830045243709
18,계곡AT4,방아골,,138,128.73462444346,35.7854060328933
19,계곡AT4,잡수골,,700,128.737891617453,35.7810478197458
20,산AT4,기름산,,963,128.72478562096958,35.781244672226016
21,산AT4,백자산,,1331,128.74819151089102,35.78684145460469
22,산AT4,백자산,,1590,128.751039224106,35.7853230532197
23,계곡AT4,못안골,,1084,128.733125571723,35.7764775765028
24,계곡AT4,수골,,1193,128.723536771712,35.779181857865
25,저수지AT4,망풍지,,1629,128.727015875115,35.7725392143387
26,계곡AT4,새터골,,1574,128.730579256116,35.7722608913312
27,저수지AT4,이목지,,1895,128.713218242775,35.78192461899
28,계곡AT4,구일골,,1526,128.72167592899,35.7960633682383
29,산AT4,금성산,,2022,128.71332748407616,35.79412265768285
30,종합병원HP8,경산중앙병원,경북 경산시 경안로 11,2577,128.74015172657693,35.808824067060584
31,"고속,시외버스터미널버스터미널",경산시외버스정류장,경북 경산시 경안로 196,4317,128.73751755245328,35.82501042147774
32,KTX정차역기차역,경산역,경북 경산시 중앙로 1,3708,128.727940928681,35.8193488422438
