예원예술대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,문화원CT1,임실문화원,전북 임실군 임실읍 봉황로 131,3838,127.27753598685804,35.61264248244295
1,미술관CT1,문화예술갤러리 시계탑,,3376,127.304215322105,35.6339926392456
2,박물관CT1,신평생활사박물관,전북 임실군 신평면 석등슬치로 369,4339,127.224228575448,35.6572995542446
3,미술관CT1,오궁리미술촌,전북 임실군 신덕면 수지로 667,6047,127.217571749614,35.6801286062024
4,기념관CT1,장진영기념관,전북 임실군 운암면 임운로 1577,7900,127.183227950995,35.6500324588252
5,기념관CT1,소충사 기념관,전북 임실군 성수면 산성로 725-23,7469,127.346978375465,35.6218115627734
6,저수지AT4,청운지,,427,127.271666589882,35.6430409274209
7,계곡AT4,진날골,,648,127.270670082277,35.640905324421
8,계곡AT4,방주골,,723,127.277387997601,35.6436155245339
9,계곡AT4,여시골,,809,127.263136345819,35.6424614117667
10,계곡AT4,큰골,,833,127.267794820723,35.6395309829693
11,계곡AT4,필골,,844,127.261609268038,35.6441339167051
12,계곡AT4,구름골,,925,127.277005897161,35.6403970168437
13,계곡AT4,맹산골,,957,127.2808487694,35.6456191700717
14,계곡AT4,엄선골,,1399,127.262249111754,35.6574751218173
15,계곡AT4,처마니골,,1105,127.264574572558,35.6379698632963
16,계곡AT4,당산골,,1374,127.268230897242,35.659008547173
17,계곡AT4,지아골,,1375,127.282983728815,35.639838745747
18,저수지AT4,두실지,,1414,127.273929045043,35.6343293928411
19,계곡AT4,구저골,,1374,127.279608264106,35.636912045581
20,계곡AT4,서당골,,1387,127.257286153188,35.6402316534955
21,오토캠핑장AD5,임실치즈박사 캠핑장,전북 임실군 관촌면 춘향로 3441-26,2370,127.267452401894,35.6679726186632
22,"야영,캠핑장AD5",방수리야영장,전북 임실군 관촌면 관마로 358-5,6025,127.281570654275,35.7002710688316
23,종합병원HP8,임실군보건의료원,전북 임실군 임실읍 호국로 1680,4086,127.286975554898,35.6124950912514
24,"고속,시외버스터미널버스터미널",임실공용터미널,전북 임실군 임실읍 운수로 20,3698,127.28281671372136,35.6149915786936
25,"고속,시외버스터미널버스터미널",관촌공용버스터미널,전북 임실군 관촌면 사선로 32,2922,127.27028384370198,35.673083764713795
26,기차역기차역,임실역,전북 임실군 임실읍 춘향로 2932,2342,127.289923367353,35.6329256122817
