제주국제대학교,버스,버스노선,배차간격,지하철역
0,"360 (국제대)(제주고등학교,중흥S클래스-제주국제대학교)",제주고등학교/중흥S클래스-제주국제대학교,배차간격 정보없음,False
1,360 (국제대)(한라병원-제주국제대학교),한라병원-제주국제대학교,배차간격 정보없음,False
2,365 (국제대),제주한라대학교-제주국제대학교,배차간격 정보없음,False
3,475 (국제대),제주대학교-제주국제대학교,배차간격 정보없음,False
4,"360 (제주고)(제주국제대학교-제주고등학교,중흥S클래스)",제주국제대학교-제주고등학교/중흥S클래스,배차간격 정보없음,False
5,365 (한라대)(제주국제대학교-제주한라대학교),제주국제대학교-제주한라대학교(종점),배차간격 정보없음,False
6,475 (제주대)(제주국제대학교-제주대학교),제주국제대학교-제주대학교,배차간격 정보없음,False
7,425 (국제대),국제여객선터미널-국제대학교 환승주차장,배차간격 정보없음,False
8,426 (국제대학교환승주차장),국제여객선터미널-국제대학교 환승주차장,배차간격 정보없음,False
9,471 (국제대학교환승주차장),제주한라대학교-국제대학교 환승주차장,배차간격 정보없음,False
10,472 (국제대학교환승주차장),제주한라대학교-국제대학교 환승주차장,배차간격 정보없음,False
11,473 (국제대),제주한라대학교-국제대학교 환승주차장,배차간격 정보없음,False
12,212 (제주버스터미널)(미타요양원),성산항-제주버스터미널(종점),배차간격 정보없음,False
13,212 (제주버스터미널)(수산리사무소),성산항-제주버스터미널(종점),배차간격 정보없음,False
14,212 (제주버스터미널)(아부오름),성산항-제주버스터미널(종점),배차간격 정보없음,False
