한려대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,CJCGVCT1,CGV 광양엘에프스퀘어,전남 광양시 광양읍 순광로 466,797,127.56665300953563,34.96313117250758
1,CJCGVCT1,CGV 순천신대,전남 순천시 해룡면 해광로 199,3526,127.552373454347,34.9259799955308
2,미술관CT1,전남도립미술관,전남 광양시 광양읍 순광로 660,2612,127.58885129381345,34.96769918650398
3,박물관CT1,광양장도박물관,전남 광양시 광양읍 매천로 771,2760,127.580741435336,34.9769484536798
4,박물관CT1,광양역사문화관,전남 광양시 광양읍 매천로 829,2964,127.586129428075,34.9757291507259
5,"공연장,연극극장CT1",광양문화예술회관,전남 광양시 광양읍 향교길 9-30,3400,127.587508837303,34.9799661363677
6,문화원CT1,광양문화원,전남 광양시 광양읍 매천로 829,2959,127.585993975543,34.9757766757469
7,전시관CT1,광양사진관,전남 광양시 광양읍 읍성길 113,2902,127.58757789381167,34.97368865786953
8,박물관CT1,순천세계수석박물관,전남 순천시 신월길 15,4077,127.519237845621,34.9585288925088
9,"공연장,연극극장CT1",광양문화예술회관 대공연장,전남 광양시 광양읍 향교길 9-30,3398,127.587508682796,34.9799445042336
10,기념관CT1,호남호국기념관,전남 순천시 원연향길 17,4492,127.52128593076347,34.93598115318352
11,미술관CT1,해지면열리는미술관,전남 순천시 조례2길 31,3696,127.52443667675,34.964093285223
12,"공연장,연극극장CT1",엔씨순천소극장,전남 순천시 비봉2길 22,4309,127.52089415755297,34.97250754578138
13,문화원CT1,한국종이문화원,전남 순천시 해룡면 조례못등2길 4-9,3245,127.528978867819,34.950522291776
14,"공연장,연극극장CT1",광양문화예술회관 소공연장,전남 광양시 광양읍 향교길 9-30,3398,127.587508682796,34.9799445042336
15,계곡AT4,덕례골,,121,127.56341748662,34.955288944578
16,저수지AT4,인덕저수지,,676,127.557456189533,34.9531855990253
17,계곡AT4,갈대골,,478,127.567875257253,34.9590503521307
18,계곡AT4,시묘당골,,412,127.565568936339,34.9529173429851
19,계곡AT4,비용선골,,713,127.563498958071,34.9499163691896
20,저수지AT4,덕산제,,1278,127.561496489177,34.9677079603036
21,계곡AT4,어룡골,,681,127.571110061089,34.9575533253445
22,계곡AT4,새고개골,,981,127.555804121207,34.9504241429968
23,계곡AT4,신풍골,,899,127.566436499172,34.9485326152459
24,먹자골목AT4,광양불고기특화거리,,2014,127.579050431545,34.9694571181602
25,계곡AT4,매봉골,,902,127.555520611193,34.9518892746204
26,계곡AT4,금당골,,993,127.561315698823,34.9476189549374
27,계곡AT4,가자골,,1510,127.561287357916,34.9697965072702
28,계곡AT4,아래용전골,,1471,127.565659589377,34.9431640329031
29,계곡AT4,해두골,,1483,127.563499612422,34.9429721630107
30,종합병원HP8,순천성가롤로병원,전남 순천시 순광로 221,2057,127.543689705737,34.964702679494
31,"고속,시외버스터미널버스터미널",광양터미널,전남 광양시 광양읍 순광로 688,2814,127.58998373907896,34.96971726940407
32,기차역기차역,광양역,전남 광양시 광양읍 해광로 800,2184,127.587713961496,34.9565547158341
33,기차역기차역,평화역,,1884,127.550929217777,34.9430658768408
34,기차역기차역,성산역,전남 순천시 해룡면 남가2길 40,3879,127.54591171798,34.9246246787466
