"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"전라남도 나주시 (4617000000)","116,302","116,302","9,737","9,655","12,026","14,361","16,715","17,359","17,004","11,310","7,012","1,093","30","58,657","58,657","5,015","4,951","6,333","7,514","9,187","9,548","8,671","5,032","2,175","226","5","57,645","57,645","4,722","4,704","5,693","6,847","7,528","7,811","8,333","6,278","4,837","867","25"
"전라남도 나주시 남평읍(4617025000)","12,007","12,007","1,052","793","1,094","1,541","1,673","1,977","2,038","1,127","621","91","0","6,023","6,023","541","398","589","792","945","1,010","1,022","514","194","18","0","5,984","5,984","511","395","505","749","728","967","1,016","613","427","73","0"
"전라남도 나주시 세지면(4617031000)","2,571","2,571","37","144","176","124","212","442","582","468","330","55","1","1,302","1,302","17","78","99","68","146","265","317","207","99","6","0","1,269","1,269","20","66","77","56","66","177","265","261","231","49","1"
"전라남도 나주시 왕곡면(4617032000)","2,820","2,820","54","115","223","160","237","497","643","457","380","53","1","1,471","1,471","30","63","130","104","155","309","346","210","115","9","0","1,349","1,349","24","52","93","56","82","188","297","247","265","44","1"
"전라남도 나주시 반남면(4617033000)","1,406","1,406","19","43","86","61","117","240","329","266","207","38","0","699","699","9","20","54","48","74","140","170","126","49","9","0","707","707","10","23","32","13","43","100","159","140","158","29","0"
"전라남도 나주시 공산면(4617034000)","2,234","2,234","69","113","138","105","210","342","508","410","303","33","3","1,134","1,134","33","62","85","60","132","212","270","180","97","3","0","1,100","1,100","36","51","53","45","78","130","238","230","206","30","3"
"전라남도 나주시 동강면(4617035000)","2,381","2,381","44","68","150","107","189","358","565","487","358","55","0","1,184","1,184","17","39","96","61","134","213","304","205","103","12","0","1,197","1,197","27","29","54","46","55","145","261","282","255","43","0"
"전라남도 나주시 다시면(4617036000)","3,521","3,521","56","149","236","182","292","587","851","634","464","68","2","1,778","1,778","26","89","141","117","193","333","448","270","148","13","0","1,743","1,743","30","60","95","65","99","254","403","364","316","55","2"
"전라남도 나주시 문평면(4617037000)","1,893","1,893","29","48","100","86","143","306","461","363","309","44","4","927","927","12","25","61","51","98","181","250","147","95","7","0","966","966","17","23","39","35","45","125","211","216","214","37","4"
"전라남도 나주시 노안면(4617038000)","4,498","4,498","84","147","300","245","343","862","1,093","749","560","112","3","2,319","2,319","50","80","172","144","231","518","590","338","170","26","0","2,179","2,179","34","67","128","101","112","344","503","411","390","86","3"
"전라남도 나주시 금천면(4617039000)","4,153","4,153","97","206","343","283","423","701","897","734","407","59","3","2,183","2,183","50","113","192","183","258","441","463","332","139","11","1","1,970","1,970","47","93","151","100","165","260","434","402","268","48","2"
"전라남도 나주시 산포면(4617040000)","3,300","3,300","70","129","266","218","330","648","733","524","334","48","0","1,728","1,728","31","69","152","135","222","388","385","240","95","11","0","1,572","1,572","39","60","114","83","108","260","348","284","239","37","0"
"전라남도 나주시 다도면(4617042000)","1,854","1,854","24","58","95","90","139","362","468","331","246","39","2","955","955","14","26","49","55","89","218","273","142","75","13","1","899","899","10","32","46","35","50","144","195","189","171","26","1"
"전라남도 나주시 봉황면(4617043000)","4,115","4,115","77","172","283","202","339","721","951","785","504","77","4","2,128","2,128","42","98","164","114","238","440","508","350","159","13","2","1,987","1,987","35","74","119","88","101","281","443","435","345","64","2"
"전라남도 나주시 송월동(4617051000)","7,790","7,790","585","807","1,234","957","1,187","1,339","862","492","289","36","2","3,868","3,868","307","400","657","535","581","709","399","186","86","8","0","3,922","3,922","278","407","577","422","606","630","463","306","203","28","2"
"전라남도 나주시 영강동(4617052000)","2,642","2,642","129","190","304","263","353","478","431","294","170","30","0","1,308","1,308","63","99","171","142","192","257","194","131","55","4","0","1,334","1,334","66","91","133","121","161","221","237","163","115","26","0"
"전라남도 나주시 금남동(4617054000)","4,838","4,838","207","347","486","370","541","840","887","711","385","63","1","2,423","2,423","114","212","274","187","299","433","434","305","148","17","0","2,415","2,415","93","135","212","183","242","407","453","406","237","46","1"
"전라남도 나주시 성북동(4617055000)","8,647","8,647","636","903","1,273","840","1,314","1,450","1,104","714","353","58","2","4,354","4,354","341","474","707","435","669","749","528","313","124","14","0","4,293","4,293","295","429","566","405","645","701","576","401","229","44","2"
"전라남도 나주시 영산동(4617058000)","3,134","3,134","103","191","237","201","302","547","659","520","320","54","0","1,573","1,573","59","93","127","107","192","307","347","232","92","17","0","1,561","1,561","44","98","110","94","110","240","312","288","228","37","0"
"전라남도 나주시 이창동(4617060000)","3,321","3,321","100","192","364","276","393","595","666","467","228","39","1","1,795","1,795","48","94","217","166","247","382","354","219","62","6","0","1,526","1,526","52","98","147","110","146","213","312","248","166","33","1"
"전라남도 나주시 빛가람동(4617062000)","39,177","39,177","6,265","4,840","4,638","8,050","7,978","4,067","2,276","777","244","41","1","19,505","19,505","3,211","2,419","2,196","4,010","4,092","2,043","1,069","385","70","9","1","19,672","19,672","3,054","2,421","2,442","4,040","3,886","2,024","1,207","392","174","32","0"
