"월별(1)",2019,2019,2019,2019,2019,2019
"월별(1)",집계 관광지수 (개),방문객수 (명),방문객수 (명),방문객수 (명),방문객수 (명),방문객수 (명)
"월별(1)",소계,합계,유료 관광지,유료 관광지,유료 관광지,무료 관광지
"월별(1)",소계,소계,소계,내국인,외국인,소계
"합계",-,7656062,5378613,4559159,819454,2277449
"1월",25,378850,246548,206639,39909,132302
"2월",25,431026,269022,229491,39531,162004
"3월",25,607580,406423,332854,73569,201157
"4월",25,795334,567884,470264,97620,227450
"5월",25,933314,658746,562147,96599,274568
"6월",25,764555,558803,471625,87178,205752
"7월",29,601416,441146,362972,78174,160270
"8월",29,719674,524537,440662,83875,195137
"9월",29,657069,475044,400047,74997,182025
"10월",29,747131,491162,437774,53388,255969
"11월",29,683960,501425,442287,59138,182535
"12월",29,336153,237873,202397,35476,98280
